event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
S,28521137,1,64,80000008,80003072,20971520,10485760,20971520,10485760,0,0,
D,29293736,1,63,80000008,80003072,20643840,10813440,20643840,10813440,0,0,
D,29477000,1,62,80000008,80003072,20316160,11141120,20316160,11141120,0,0,
D,29495777,1,61,80000008,80003072,19988480,11468800,19988480,11468800,0,0,
D,29571788,1,60,80000008,80003072,19660800,11796480,19660800,11796480,0,0,
D,29937221,1,59,80000008,80003072,19333120,12124160,19333120,12124160,0,0,
D,30028694,1,58,80000008,80003072,19005440,12451840,19005440,12451840,0,0,
D,30421602,1,57,80000008,80003072,18677760,12779520,18677760,12779520,0,0,
D,30440325,1,56,80000008,80003072,18350080,13107200,18350080,13107200,0,0,
D,30448084,1,55,80000008,80003072,18022400,13434880,18022400,13434880,0,0,
D,30556250,1,54,80000008,80003072,17694720,13762560,17694720,13762560,0,0,
D,30708194,1,53,80000008,80003072,17367040,14090240,17367040,14090240,0,0,
D,30796277,1,52,80000008,80003072,17039360,14417920,17039360,14417920,0,0,
D,30840352,1,51,80000008,80003072,16711680,14745600,16711680,14745600,0,0,
D,30922042,1,50,80000008,80003072,16384000,15073280,16384000,15073280,0,0,
D,31118721,1,49,80000008,80003072,16056320,15400960,16056320,15400960,0,0,
D,31185238,1,48,80000008,80003072,15728640,15728640,15728640,15728640,0,0,
D,31290147,1,47,80000008,80003072,15400960,16056320,15400960,16056320,0,0,
D,31364181,1,46,80000008,80003072,15073280,16384000,15073280,16384000,0,0,
D,31373321,1,45,80000008,80003072,14745600,16711680,14745600,16711680,0,0,
D,31386257,1,44,80000008,80003072,14417920,17039360,14417920,17039360,0,0,
D,31390686,1,43,80000008,80003072,14090240,17367040,14090240,17367040,0,0,
D,31424370,1,42,80000008,80003072,13762560,17694720,13762560,17694720,0,0,
D,31448118,1,41,80000008,80003072,13434880,18022400,13434880,18022400,0,0,
D,33353357,1,40,80000008,80003072,13107200,18350080,13107200,18350080,0,0,
D,33416213,1,39,80000008,80003072,12779520,18677760,12779520,18677760,0,0,
D,33416622,1,38,80000008,80003072,12451840,19005440,12451840,19005440,0,0,
D,33453852,1,37,80000008,80003072,12124160,19333120,12124160,19333120,0,0,
D,33457247,1,36,80000008,80003072,11796480,19660800,11796480,19660800,0,0,
D,33519640,1,35,80000008,80003072,11468800,19988480,11468800,19988480,0,0,
D,33715296,1,34,80000008,80003072,11141120,20316160,11141120,20316160,0,0,
D,33778336,1,33,80000008,80003072,10813440,20643840,10813440,20643840,0,0,
D,33982582,1,32,80000008,80003072,10485760,20971520,10485760,20971520,0,0,
E,34028301,1,32,80000008,80003072,10485760,20971520,10485760,20971520,0,0,
M,34095898,1,33,80000008,80003072,10813440,20971520,10813440,20971520,0,0,
M,34216953,1,34,80000008,80003072,11141120,20971520,11141120,20971520,0,0,
